player_node,team_node,player_name,team_name,team_name_at_time,team_name_history,group,leagues,minutes_domestic,games_domestic,wins_domestic,first_date,last_date,active_years,minutes_international,games_international,wins_international,minutes_total,games_total,wins_total,domestic_win_rate
player::aphromoo,team::100,aphromoo,100,100,100,major,LCS,3441.8166666666666,94,46.0,2018-01-20 00:00:00+00:00,2019-08-05 00:00:00+00:00,2018|2019,181.01666666666665,6.0,2.0,3622.833333333333,100.0,48.0,0.48936170212765956
player::cody-sun,team::100,Cody Sun,100,100,100,major,LCS,2025.3,54,32.0,2018-01-20 00:00:00+00:00,2018-09-09 00:00:00+00:00,2018,0.0,0.0,0.0,2025.3,54.0,32.0,0.5925925925925926
player::meteos,team::100,Meteos,100,100,100,major,LCS,1245.9166666666663,33,20.0,2018-01-20 00:00:00+00:00,2018-07-01 00:00:00+00:00,2018,0.0,0.0,0.0,1245.9166666666663,33.0,20.0,0.6060606060606061
player::ryu,team::100,Ryu,100,100,100,major,LCS,2722.15,74,42.0,2018-01-20 00:00:00+00:00,2019-08-05 00:00:00+00:00,2018|2019,181.01666666666665,6.0,2.0,2903.166666666667,80.0,44.0,0.5675675675675675
player::ssumday,team::100,Ssumday,100,100,100,major,LCS,2924.2,79,38.0,2018-01-20 00:00:00+00:00,2019-06-09 00:00:00+00:00,2018|2019,181.01666666666665,6.0,2.0,3105.2166666666662,85.0,40.0,0.4810126582278481
player::anda,team::100,AnDa,100,100,100,major,LCS,1544.7833333333333,42,18.0,2018-07-14 00:00:00+00:00,2019-03-17 00:00:00+00:00,2018|2019,181.01666666666665,6.0,2.0,1725.8,48.0,20.0,0.42857142857142855
player::rikara,team::100,Rikara,100,100,100,major,LCS,179.23333333333332,5,2.0,2018-09-02 00:00:00+00:00,2018-09-08 00:00:00+00:00,2018,181.01666666666665,6.0,2.0,360.25,11.0,4.0,0.4
player::bang,team::100,Bang,100,100,100,major,LCS,1297.1166666666666,37,12.0,2019-01-26 00:00:00+00:00,2019-08-05 00:00:00+00:00,2019,0.0,0.0,0.0,1297.1166666666666,37.0,12.0,0.32432432432432434
player::huhi,team::100,huhi,100,100,100,major,LCS,439.9333333333333,12,4.0,2019-01-26 00:00:00+00:00,2019-03-03 00:00:00+00:00,2019,0.0,0.0,0.0,439.9333333333333,12.0,4.0,0.3333333333333333
player::soligo,team::100,Soligo,100,100,100,major,LCS,339.56666666666666,10,0.0,2019-03-10 00:00:00+00:00,2019-06-09 00:00:00+00:00,2019,0.0,0.0,0.0,339.56666666666666,10.0,0.0,0.0
player::fakegod,team::100,FakeGod,100,100,100,major,LCS,577.45,17,8.0,2019-03-24 00:00:00+00:00,2019-08-05 00:00:00+00:00,2019,0.0,0.0,0.0,577.45,17.0,8.0,0.47058823529411764
player::fragas,team::100,Fragas,100,100,100,major,LCS,59.83333333333333,2,0.0,2019-03-24 00:00:00+00:00,2019-03-24 00:00:00+00:00,2019,0.0,0.0,0.0,59.83333333333333,2.0,0.0,0.0
player::stunt,team::100,Stunt,100,100,100,major,LCS,59.83333333333333,2,0.0,2019-03-24 00:00:00+00:00,2019-03-24 00:00:00+00:00,2019,0.0,0.0,0.0,59.83333333333333,2.0,0.0,0.0
player::amazing-maurice-stuckenschneider,team::100,Amazing (Maurice Stückenschneider),100,100,100,major,LCS,651.1166666666667,19,8.0,2019-06-01 00:00:00+00:00,2019-08-05 00:00:00+00:00,2019,0.0,0.0,0.0,651.1166666666667,19.0,8.0,0.42105263157894735
player::elysion,team::1907fenerbahceesports,Elysion,1907 Fenerbahçe Esports,1907 Fenerbahçe Esports,1907 Fenerbahçe Esports,wildcard,TCL,295.75,8,3.0,2017-01-21 00:00:00+00:00,2017-01-29 00:00:00+00:00,2017,0.0,0.0,0.0,295.75,8.0,3.0,0.375
