league,original_team_name,canonical_team_name,original_team_node,canonical_team_node,changed,cluster_size,method
CBLOL,Big Gods,Big Gods,team::biggods,team::biggods,False,1,unchanged
CBLOL,CNB,CNB,team::cnb,team::cnb,False,2,normalized_name
CBLOL,cnb,CNB,team::cnb,team::cnb,True,2,normalized_name
CBLOL,FLA,FLA,team::fla,team::fla,False,1,unchanged
CBLOL,IDM,IDM,team::idm,team::idm,False,1,unchanged
CBLOL,INTZ Red,INTZ Red,team::intzred,team::intzred,False,1,unchanged
CBLOL,INTZ,INTZ e-Sports,team::intz,team::intzesports,True,3,normalized_name
CBLOL,INTZ e-Sports,INTZ e-Sports,team::intzesports,team::intzesports,False,3,normalized_name
CBLOL,intz,INTZ e-Sports,team::intz,team::intzesports,True,3,normalized_name
CBLOL,KaBuM B,KaBuM! Black,team::kabumb,team::kabumblack,True,3,manual_review|normalized_name
CBLOL,KaBum Black,KaBuM! Black,team::kabumblack,team::kabumblack,True,3,manual_review|normalized_name
CBLOL,kabum b,KaBuM! Black,team::kabumb,team::kabumblack,True,3,manual_review|normalized_name
CBLOL,KaBuM O,KaBuM! Orange,team::kabumo,team::kabumorange,True,3,manual_review|normalized_name
CBLOL,KaBuM Orange,KaBuM! Orange,team::kabumorange,team::kabumorange,True,3,manual_review|normalized_name
CBLOL,kabum o,KaBuM! Orange,team::kabumo,team::kabumorange,True,3,manual_review|normalized_name
CBLOL,KBM,KaBuM! e-Sports,team::kbm,team::kabumesports,True,2,manual_review
CBLOL,KaBuM,KaBuM! e-Sports,team::kabum,team::kabumesports,True,2,manual_review
CBLOL,Keyd Stars,Keyd Stars,team::keydstars,team::keydstars,False,3,manual_review|normalized_name
CBLOL,kStars,Keyd Stars,team::kstars,team::keydstars,True,3,manual_review|normalized_name
CBLOL,kstars,Keyd Stars,team::kstars,team::keydstars,True,3,manual_review|normalized_name
CBLOL,OPK,OPK,team::opk,team::opk,False,1,unchanged
